boat,dtf,long,lat,time
366,3862994,-15.4278,28.12899,1478106870
366,3862994,-15.42625,28.12847,1478109600
366,3862994,-15.42629,28.12854,1478116806
366,3862994,-15.42629,28.12847,1478124006
366,3862994,-15.4263,28.12847,1478131200
366,3862994,-15.42627,28.12845,1478138406
366,3862994,-15.42631,28.12849,1478145600
366,3862994,-15.42632,28.12851,1478152805
366,3862994,-15.42613,28.12849,1478160000
366,3862994,-15.42633,28.12852,1478167205
366,3862994,-15.42628,28.12854,1478174400
366,3862994,-15.42638,28.12864,1478181600
366,3862994,-15.42632,28.12846,1478188805
366,3862994,-15.42641,28.12852,1478196001
366,3862994,-15.42631,28.12853,1478203212
366,3862994,-15.42627,28.12848,1478210400
366,3862994,-15.42629,28.12849,1478217605
366,3862994,-15.42623,28.12847,1478224800
366,3862994,-15.42635,28.12848,1478232005
366,3862994,-15.42626,28.12844,1478239200
366,3862994,-15.4263,28.12849,1478246406
366,3862994,-15.42626,28.12852,1478253600
366,3862994,-15.42627,28.12862,1478260800
366,3862994,-15.4263,28.12858,1478268005
366,3862994,-15.42658,28.1287,1478275200
366,3862994,-15.42633,28.12851,1478282412
366,3862994,-15.42628,28.12846,1478289600
366,3862994,-15.42634,28.12851,1478296805
366,3862994,-15.42628,28.12849,1478304000
366,3862994,-15.42627,28.12849,1478311205
366,3862994,-15.42636,28.12849,1478318400
366,3862994,-15.42633,28.12845,1478325605
366,3862994,-15.42625,28.12842,1478332800
366,3862994,-15.42631,28.1285,1478340005
366,3862994,-15.42634,28.12852,1478347200
366,3862994,-15.4259,28.12866,1478354400
366,3862994,-15.42627,28.12853,1478361605
366,3862994,-15.42631,28.12854,1478368800
366,3862994,-15.42626,28.12849,1478376005
366,3862994,-15.4263,28.12851,1478379600
366,3862994,-15.42608,28.12821,1478383200
366,3862994,-15.42625,28.12841,1478386800
366,3862994,-15.42627,28.1285,1478390405
366,3862994,-15.42627,28.12849,1478394000
366,3862994,-15.42633,28.1286,1478397600
366,3862994,-15.42629,28.12853,1478401206
366,3862994,-15.42634,28.12852,1478404800
366,3862994,-15.42639,28.12863,1478408400
366,3862994,-15.42628,28.12848,1478412005
366,3862994,-15.42626,28.12846,1478412900
366,3862994,-15.42625,28.12847,1478413800
366,3862994,-15.42623,28.12847,1478414700
366,3862994,-15.42632,28.12843,1478415600
366,3862994,-15.42662,28.12833,1478416500
366,3862994,-15.42628,28.12848,1478417400
366,3862994,-15.42631,28.12846,1478418306
366,3862994,-15.4263,28.12849,1478419200
366,3862994,-15.42631,28.12849,1478420100
366,3862994,-15.42629,28.12852,1478421000
366,3862994,-15.4263,28.12848,1478421900
366,3862994,-15.42631,28.12846,1478422800
366,3862994,-15.42628,28.12851,1478423700
366,3862994,-15.42629,28.12851,1478424600
366,3862994,-15.42625,28.12851,1478425500
366,3862994,-15.42617,28.12862,1478426400
366,3862994,-15.4263,28.12847,1478427305
366,3862994,-15.42631,28.1285,1478428200
366,3862994,-15.42633,28.12854,1478429100
366,3862994,-15.42638,28.12852,1478430000
366,3862994,-15.42636,28.1285,1478430900
366,3862994,-15.42644,28.12849,1478432092
366,3862994,-15.42658,28.1286,1478432700
366,3862994,-15.41577,28.12177,1478433600
366,3862994,-15.40939,28.10547,1478434500
366,3862994,-15.40734,28.10565,1478435400
366,3862994,-15.41059,28.10957,1478436300
366,3862994,-15.41083,28.10561,1478437200
366,3862994,-15.40467,28.08813,1478438100
366,3862994,-15.39311,28.07414,1478439000
366,3862994,-15.384,28.05592,1478439900
366,3862994,-15.37722,28.04419,1478440800
366,3862994,-15.36914,28.02561,1478441705
366,3862994,-15.36512,28.01486,1478442600
366,3862994,-15.35874,28.01403,1478443500
366,3862994,-15.35708,28.01322,1478444400
366,3862994,-15.34958,28.00392,1478445300
366,3862994,-15.34505,27.98356,1478446200
366,3862994,-15.34283,27.96178,1478447100
366,3862994,-15.34387,27.93721,1478448000
366,3862994,-15.34637,27.91395,1478448900
366,3862994,-15.34817,27.89251,1478449800
366,3862994,-15.34454,27.87106,1478450706
366,3862994,-15.34229,27.85001,1478451600
366,3862994,-15.35057,27.83107,1478452500
366,3862994,-15.36423,27.81366,1478453400
366,3862994,-15.37582,27.79504,1478454300
366,3862994,-15.3865,27.77648,1478455200
366,3862994,-15.39735,27.75751,1478456100
366,3862994,-15.40848,27.7382,1478457000
366,3862994,-15.41636,27.71812,1478457900
366,3862994,-15.4266,27.69926,1478458800
366,3862994,-15.43561,27.67995,1478459706
366,3862994,-15.44412,27.66147,1478460600
366,3862994,-15.45269,27.64308,1478461500
366,3862994,-15.46198,27.62444,1478462400
366,3862994,-15.47125,27.60555,1478463300
366,3862994,-15.48036,27.58682,1478464200
366,3862994,-15.48835,27.56715,1478465100
366,3862994,-15.49581,27.54698,1478466000
366,3862994,-15.50323,27.5264,1478466900
366,3862994,-15.51088,27.50604,1478467800
366,3862994,-15.51893,27.48565,1478468705
366,3862994,-15.52672,27.46557,1478469600
366,3862994,-15.53406,27.44545,1478470500
366,3862994,-15.54125,27.42536,1478471400
366,3862994,-15.54877,27.40554,1478472300
366,3862994,-15.55665,27.38578,1478473200
366,3862994,-15.56493,27.36603,1478474100
366,3862994,-15.57352,27.34645,1478475000
366,3862994,-15.58251,27.32728,1478475900
366,3862994,-15.59173,27.30859,1478476800
366,3862994,-15.60117,27.29013,1478477705
366,3862994,-15.611,27.2721,1478478600
366,3862994,-15.62085,27.25365,1478479500
366,3862994,-15.6304,27.23482,1478480400
366,3862994,-15.73828,27.04787,1478491200
366,3862994,-15.87883,26.75697,1478505605
366,3862994,-16.10443,26.52631,1478520005
366,3862994,-16.36616,26.28857,1478534406
366,3862994,-16.60383,26.00396,1478548836
366,3862994,-16.88118,25.67233,1478563290
366,3862994,-17.20449,25.32855,1478577605
366,3862994,-17.57888,24.97326,1478592024
366,3862994,-17.92756,24.59363,1478606405
366,3862994,-18.26894,24.23373,1478620805
366,3862994,-18.57353,23.88042,1478635290
366,3862994,-18.87333,23.57684,1478649605
366,3862994,-19.12467,23.25071,1478664007
366,3862994,-19.40127,22.93173,1478678436
366,3862994,-19.70426,22.60092,1478692805
366,3862994,-20.04203,22.24108,1478707223
366,3862994,-20.37206,21.89625,1478721842
366,3862994,-20.66865,21.55413,1478736005
366,3862994,-20.97193,21.2016,1478750430
366,3862994,-21.27967,20.86337,1478764805
366,3862994,-21.57698,20.50112,1478779205
366,3862994,-21.92973,20.14068,1478793605
366,3862994,-22.2032,19.77772,1478808035
366,3862994,-22.42649,19.43789,1478822406
366,3862994,-22.71383,19.13953,1478836805
366,3862994,-23.05475,18.8365,1478851205
366,3862994,-23.41229,18.5409,1478865605
366,3862994,-23.79544,18.29565,1478880036
366,3862994,-24.11889,18.02643,1478894466
366,3862994,-24.38466,17.70764,1478908825
366,3862994,-24.68785,17.38601,1478923205
366,3862996,-24.91922,17.02976,1478937636
366,3862996,-24.99116,16.88673,1478952005
366,3862996,-24.99111,16.88669,1478966405
366,3862996,-24.99112,16.8867,1478980805
366,3862996,-24.99107,16.88672,1478995200
366,3862996,-24.99112,16.88671,1479009605
366,3862996,-24.99113,16.88671,1479024005
366,3862996,-24.99116,16.88667,1479038407
366,3862996,-24.99114,16.8867,1479052805
366,3862996,-24.99112,16.88673,1479067206
366,3862996,-24.99114,16.88672,1479081630
366,3862996,-24.99116,16.88671,1479096006
366,3862996,-24.99117,16.88672,1479110424
366,3862996,-24.99112,16.88674,1479124805
366,3862996,-24.9989,16.88645,1479139205
366,3862996,-25.05607,16.88499,1479153606
366,3862996,-24.99115,16.88669,1479168006
366,3862996,-24.99113,16.88671,1479182406
366,3862996,-24.99112,16.88669,1479196805
366,3862996,-24.99111,16.8867,1479211206
366,3862996,-24.99109,16.88668,1479225605
366,3862996,-24.99111,16.8867,1479240005
366,3862996,-24.99114,16.8867,1479254405
366,3862996,-24.99116,16.88669,1479268806
366,3862996,-24.99114,16.8867,1479283205
366,3862996,-24.99115,16.88671,1479297606
366,3837749,-25.1984,16.87108,1479312005
366,3807374,-25.48401,16.87722,1479326405
366,3778955,-25.75121,16.88959,1479340805
366,3742808,-26.09124,16.86787,1479355205
366,3707762,-26.42086,16.84602,1479369605
366,3675236,-26.72669,16.84797,1479384006
366,3639024,-27.0672,16.86177,1479398405
366,3598445,-27.44885,16.87765,1479412806
366,3562187,-27.78987,16.88405,1479427205
366,3528313,-28.10847,16.88629,1479441605
366,3487161,-28.4956,16.89487,1479456005
366,3442911,-28.91173,16.88914,1479470405
366,3400682,-29.30904,16.89694,1479484830
366,3358835,-29.70252,16.88761,1479499380
366,3330365,-29.97139,16.94371,1479513606
366,3301191,-30.2462,16.95744,1479528005
366,3265003,-30.58503,16.88282,1479542416
366,3229881,-30.9146,16.84744,1479556805
366,3192576,-31.26098,16.63488,1479571205
366,3154795,-31.61744,16.70923,1479585605
366,3108685,-32.05173,16.74608,1479600005
